418,406,4
449,412,2
449,423,2
437,385,4
437,407,5
437,414,5
446,425,4
446,384,2
424,414,5
424,413,5
481,427,2
481,407,2
481,413,2
481,421,3
481,422,3
481,424,5
481,426,4
481,410,3
455,383,4
455,385,4
455,386,2
455,406,1
455,410,1
455,411,4
455,412,3
455,414,3
455,422,5
455,421,3
455,423,3
455,425,3
433,381,4
433,404,4
433,406,5
461,411,2
461,381,4
461,409,3
461,412,5
483,407,4
483,411,4
483,409,2
483,412,2
483,404,5
483,403,5
423,361,4
422,361,5
440,386,5
423,408,4
440,385,5
450,401,5
457,423,3
450,403,4
457,407,5
440,422,2
457,382,4
457,386,2
440,407,3
423,403,2
458,402,4
437,411,1
437,383,5
431,402,2
457,402,3
457,421,4
431,424,5
457,406,3
457,384,2
457,411,2
457,409,1
457,412,1
417,412,5
423,412,2
457,425,5
457,422,3
457,424,2
457,414,1
457,408,5
457,426,4
457,361,5
423,383,2
457,428,4
449,427,4
437,406,5
449,381,1
449,409,3
449,411,4
449,413,3
449,407,4
449,382,3
449,403,1
449,404,4
449,386,3
449,425,2
449,384,4
418,409,4
449,405,4
449,421,3
449,385,4
449,414,2
449,422,1
449,424,4
449,428,3
449,402,2
449,426,3
446,411,2
446,423,5
446,407,4
446,422,5
482,383,3
424,421,5
401,403,3
422,403,5
401,402,2
422,412,5
453,411,4
453,426,4
453,406,3
453,408,3
422,408,3
422,409,1
401,382,2
422,431,3
453,402,5
424,412,1
453,425,1
453,386,1
424,424,1
424,405,1
481,381,3
424,386,5
481,411,5
481,412,4
481,429,3
481,406,1
481,385,4
481,408,3
433,408,5
481,414,3
481,428,5
481,402,2
481,383,3
455,381,3
455,384,4
455,409,1
455,413,3
455,424,3
455,429,1
455,431,5
455,430,3
455,361,4
455,426,5
701,383,3
701,385,2
483,381,3
449,361,3
449,383,3
449,410,4
446,381,3
446,409,4
446,412,5
446,427,3
446,413,2
446,382,4
446,403,4
446,404,5
446,386,5
446,385,2
446,408,2
446,414,4
446,424,4
446,428,1
446,402,4
446,361,5
446,383,5
446,410,3
482,402,5
482,428,1
482,422,4
482,381,3
482,382,5
424,402,5
482,426,2
424,428,4
424,426,5
424,425,5
424,410,5
453,381,5
453,409,1
453,422,4
422,423,5
422,422,5
453,361,3
422,414,5
422,421,5
422,384,5
453,421,2
422,385,1
453,405,1
453,384,2
453,385,1
422,410,3
453,430,4
422,430,4
424,429,5
453,431,4
424,361,5
422,429,5
424,422,3
453,429,4
424,407,5
424,406,5
481,430,4
481,409,5
424,403,4
424,404,5
481,423,1
481,382,1
481,401,3
481,403,2
481,404,3
481,386,1
481,425,3
481,384,4
